Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
allow-priority?,8,4,,,10052.0,10020.0,208983.0,20.79019100676482,0.0,215.0,3.5860465116279068
allow-priority?,9,4,,,9993.0,9965.0,205477.0,20.562093465425797,3.0,181.0,3.447513812154696
allow-priority?,10,4,,,9985.0,9959.0,212484.0,21.28032048072108,0.0,203.0,3.70935960591133
allow-priority?,11,4,,,9888.0,9849.0,218294.0,22.07665857605178,2.0,217.0,3.3502304147465436
allow-priority?,12,4,,,9899.0,9860.0,225116.0,22.741286998686736,4.0,220.0,3.8954545454545455
allow-priority?,13,4,,,9917.0,9883.0,230031.0,23.195623676515076,3.0,181.0,3.6298342541436464
allow-priority?,14,4,,,9911.0,9887.0,235515.0,23.762990616486732,0.0,181.0,3.8121546961325965
allow-priority?,15,4,,,9897.0,9851.0,255978.0,25.864201273113064,6.0,199.0,4.256281407035176
allow-priority?,16,4,,,9824.0,9797.0,273076.0,27.796824104234528,1.0,216.0,4.805555555555555
allow-priority?,17,4,,,9896.0,9858.0,270579.0,27.34225949878739,2.0,177.0,5.367231638418079
allow-priority?,18,4,,,9804.0,9744.0,282194.0,28.78355773153815,1.0,181.0,5.3535911602209945
allow-priority?,19,4,,,9841.0,9783.0,286818.0,29.145208820241844,1.0,186.0,6.17741935483871
allow-priority?,20,4,,,9707.0,9654.0,305995.0,31.523127639847534,2.0,205.0,6.746341463414634
allow-priority?,1,5,,,114.0,31.0,823835.0,7226.622807017544,0.0,3.0,3297.3333333333335
allow-priority?,2,5,,,265.0,157.0,1062667.0,4010.0641509433963,0.0,2.0,4865.0
allow-priority?,3,5,,,271.0,184.0,855078.0,3155.269372693727,0.0,3.0,3254.3333333333335
allow-priority?,4,5,,,108.0,27.0,804883.0,7452.62037037037,0.0,3.0,3313.6666666666665
allow-priority?,5,5,,,201.0,118.0,819558.0,4077.402985074627,0.0,2.0,4918.5
allow-priority?,6,5,,,9898.0,9862.0,248722.0,25.1285108102647,0.0,212.0,4.311320754716981
allow-priority?,7,5,,,9829.0,9792.0,237677.0,24.181198494251703,1.0,206.0,4.398058252427185
allow-priority?,8,5,,,9987.0,9962.0,237548.0,23.78572143786923,0.0,185.0,3.908108108108108
allow-priority?,9,5,,,9883.0,9822.0,235062.0,23.7844783972478,2.0,202.0,4.524752475247524
allow-priority?,10,5,,,9908.0,9868.0,238743.0,24.095983044004843,3.0,216.0,4.097222222222222
allow-priority?,11,5,,,9960.0,9926.0,237589.0,23.854317269076304,2.0,189.0,3.8253968253968256
allow-priority?,12,5,,,9872.0,9833.0,249972.0,25.32131280388979,2.0,204.0,4.799019607843137
allow-priority?,13,5,,,9874.0,9830.0,246510.0,24.96556613327932,1.0,191.0,5.172774869109948
allow-priority?,14,5,,,9881.0,9849.0,272187.0,27.546503390345105,2.0,191.0,4.952879581151833
allow-priority?,15,5,,,9822.0,9784.0,270436.0,27.53369985746284,0.0,180.0,5.977777777777778
allow-priority?,16,5,,,9719.0,9681.0,275255.0,28.3213293548719,1.0,176.0,6.744318181818182
allow-priority?,17,5,,,9637.0,9595.0,276934.0,28.736536266472967,0.0,203.0,5.714285714285714
allow-priority?,18,5,,,9731.0,9678.0,300481.0,30.878738053642998,0.0,171.0,6.4678362573099415
allow-priority?,19,5,,,9667.0,9617.0,310907.0,32.16168407985931,3.0,209.0,6.9952153110047846
allow-priority?,20,5,,,9632.0,9571.0,323427.0,33.57838455149502,1.0,220.0,6.304545454545455
