Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
priority-score?,,4,,"(30, 20, 50)",3610.0,3460.0,1287138.0,356.54792243767315,0.0,62.0,279.258064516129
priority-score?,,4,,"(30, 30, 40)",5216.0,5065.0,1050769.0,201.4511119631902,0.0,110.0,239.4090909090909
priority-score?,,4,,"(30, 40, 30)",3470.0,3328.0,1253124.0,361.13083573487035,1.0,63.0,654.6666666666666
priority-score?,,4,,"(30, 50, 20)",6645.0,6493.0,824447.0,124.07027840481565,2.0,113.0,131.87610619469027
priority-score?,,4,,"(30, 60, 10)",6302.0,6195.0,834743.0,132.45683909869882,0.0,129.0,82.24031007751938
priority-score?,,4,,"(33, 33, 34)",5216.0,5065.0,1050769.0,201.4511119631902,0.0,110.0,239.4090909090909
priority-score?,,4,,"(33, 34, 33)",3493.0,3347.0,1254250.0,359.07529344403093,2.0,72.0,365.3888888888889
priority-score?,,4,,"(34, 33, 33)",5001.0,4897.0,889534.0,177.87122575484904,0.0,91.0,275.42857142857144
priority-score?,,4,,"(40, 0, 60)",10064.0,10038.0,65547.0,6.513016693163752,2.0,217.0,5.248847926267281
priority-score?,,4,,"(40, 10, 50)",4404.0,4297.0,1126410.0,255.76975476839237,0.0,80.0,265.9625
priority-score?,,4,,"(40, 20, 40)",5122.0,4977.0,1084325.0,211.69953143303397,0.0,112.0,157.55357142857142
priority-score?,,4,,"(40, 30, 30)",3732.0,3582.0,1324439.0,354.88719185423366,0.0,84.0,447.1666666666667
priority-score?,,4,,"(40, 40, 20)",4824.0,4670.0,1127651.0,233.7584991708126,1.0,103.0,231.89320388349515
priority-score?,,4,,"(40, 50, 10)",3463.0,3312.0,1294952.0,373.93935893733754,2.0,57.0,276.03508771929825
priority-score?,,4,,"(40, 60, 0)",6436.0,6281.0,879345.0,136.62911746426352,2.0,135.0,211.2
priority-score?,,4,,"(50, 0, 50)",9887.0,9863.0,61101.0,6.17993324567614,4.0,192.0,4.927083333333333
priority-score?,,4,,"(50, 10, 40)",5410.0,5304.0,848140.0,156.77264325323475,0.0,89.0,256.87640449438203
priority-score?,,4,,"(50, 20, 30)",5246.0,5148.0,961524.0,183.28707586732747,0.0,124.0,132.00806451612902
priority-score?,,4,,"(50, 25, 25)",5512.0,5375.0,902118.0,163.6643686502177,0.0,116.0,216.75
priority-score?,,4,,"(50, 30, 20)",3757.0,3609.0,1308311.0,348.23289858929996,1.0,81.0,132.37037037037038
priority-score?,,4,,"(50, 40, 10)",4108.0,3972.0,1179741.0,287.1813534566699,0.0,82.0,223.15853658536585
priority-score?,,4,,"(50, 50, 0)",5123.0,5021.0,903064.0,176.27640054655475,0.0,105.0,253.10476190476192
priority-score?,,4,,"(60, 0, 40)",9908.0,9882.0,65015.0,6.561869196608801,5.0,176.0,7.005681818181818
priority-score?,,4,,"(60, 10, 30)",4676.0,4529.0,1155000.0,247.00598802395209,2.0,85.0,169.69411764705882
priority-score?,,4,,"(60, 20, 20)",5617.0,5516.0,882253.0,157.0683638953178,1.0,101.0,79.57425742574257
priority-score?,,4,,"(60, 30, 10)",7885.0,7767.0,490575.0,62.21623335447051,2.0,161.0,56.88198757763975
priority-score?,,4,,"(60, 40, 0)",4961.0,4813.0,992659.0,200.09252166901834,1.0,89.0,194.6629213483146
priority-score?,,4,,"(80, 0, 20)",10002.0,9977.0,63533.0,6.352029594081184,4.0,210.0,6.0095238095238095
priority-score?,,4,,"(80, 10, 10)",5692.0,5612.0,791716.0,139.09276177090655,0.0,117.0,127.82051282051282
priority-score?,,4,,"(80, 20, 0)",3523.0,3381.0,1412107.0,400.82514902072097,0.0,63.0,233.46031746031747
priority-score?,,4,,"(100, 0, 0)",9944.0,9926.0,58213.0,5.854082864038617,2.0,195.0,5.8
priority-score?,,5,,"(0, 0, 100)",5028.0,4998.0,268885.0,53.47752585521082,0.0,91.0,0.0
priority-score?,,5,,"(0, 20, 80)",2856.0,2698.0,1457438.0,510.30742296918766,1.0,53.0,179.9811320754717
priority-score?,,5,,"(0, 40, 60)",4298.0,4175.0,1189454.0,276.7459283387622,0.0,72.0,162.33333333333334
priority-score?,,5,,"(0, 50, 50)",3951.0,3845.0,1208860.0,305.9630473297899,0.0,75.0,181.64
priority-score?,,5,,"(0, 60, 40)",4198.0,4060.0,1187033.0,282.76155312053356,0.0,94.0,266.5744680851064
priority-score?,,5,,"(0, 80, 20)",4198.0,4060.0,1187033.0,282.76155312053356,0.0,94.0,266.5744680851064
priority-score?,,5,,"(0, 100, 0)",3051.0,2900.0,1345151.0,440.8885611274992,1.0,51.0,171.88235294117646
priority-score?,,5,,"(10, 10, 80)",2998.0,2854.0,1339867.0,446.9202801867912,0.0,56.0,506.5357142857143
priority-score?,,5,,"(10, 30, 60)",4218.0,4100.0,1146848.0,271.8937885253675,1.0,86.0,250.06976744186048
priority-score?,,5,,"(10, 40, 50)",4095.0,3958.0,1216983.0,297.1875457875458,1.0,79.0,301.0
priority-score?,,5,,"(10, 50, 40)",4273.0,4140.0,1139798.0,266.74420781652236,0.0,85.0,373.4235294117647
priority-score?,,5,,"(10, 60, 30)",3192.0,3055.0,1294684.0,405.60275689223056,2.0,74.0,407.8783783783784
priority-score?,,5,,"(10, 80, 10)",4481.0,4365.0,1111581.0,248.0653871903593,1.0,83.0,343.7710843373494
priority-score?,,5,,"(20, 0, 80)",9978.0,9947.0,115509.0,11.576368009621167,2.0,167.0,7.634730538922156
priority-score?,,5,,"(20, 20, 60)",3506.0,3346.0,1303115.0,371.6814033086138,0.0,66.0,672.5909090909091
priority-score?,,5,,"(20, 30, 50)",2933.0,2784.0,1358130.0,463.05148312308216,0.0,64.0,471.609375
