Strategy,Green Length,Yellow Length,Neighbors Asked,Weights,Total Traffic Input,Total Traffic Output,Total Waiting Time,Average Total Waiting Time,Total Accidents,Priority Vehicles Count,Priority Average Waiting Time
multi-agent?,,5,1,"(33, 33, 34)",4785.0,4677.0,1008329.0,210.72706374085683,0.0,97.0,205.38144329896906
multi-agent?,,5,1,"(33, 34, 33)",5369.0,5247.0,1029151.0,191.68392624324827,0.0,103.0,198.41747572815535
multi-agent?,,5,1,"(34, 33, 33)",4783.0,4684.0,964764.0,201.70687852812043,0.0,95.0,370.66315789473686
multi-agent?,,5,1,"(40, 0, 60)",9896.0,9832.0,261732.0,26.4482619240097,3.0,188.0,21.25531914893617
multi-agent?,,5,1,"(40, 10, 50)",4084.0,3966.0,1228389.0,300.78085210577865,0.0,75.0,231.37333333333333
multi-agent?,,5,1,"(40, 20, 40)",3688.0,3588.0,1280930.0,347.32375271149675,0.0,81.0,356.4938271604938
multi-agent?,,5,1,"(40, 30, 30)",5415.0,5300.0,1000842.0,184.82770083102494,1.0,111.0,177.6036036036036
multi-agent?,,5,1,"(40, 40, 20)",5041.0,4918.0,1055340.0,209.35131918270184,0.0,103.0,225.24271844660194
multi-agent?,,5,1,"(40, 50, 10)",4431.0,4327.0,1094879.0,247.0952380952381,0.0,73.0,231.94520547945206
multi-agent?,,5,1,"(40, 60, 0)",4726.0,4609.0,1020652.0,215.96529834955564,0.0,84.0,231.41666666666666
multi-agent?,,5,1,"(50, 0, 50)",9673.0,9571.0,359186.0,37.132843998759434,1.0,180.0,30.5
multi-agent?,,5,1,"(50, 10, 40)",4645.0,4525.0,1096532.0,236.06716899892356,0.0,82.0,189.29268292682926
multi-agent?,,5,1,"(50, 20, 30)",4946.0,4835.0,970373.0,196.19348968863727,0.0,101.0,114.39603960396039
multi-agent?,,5,1,"(50, 25, 25)",4962.0,4847.0,991558.0,199.8303103587263,0.0,92.0,326.20652173913044
multi-agent?,,5,1,"(50, 30, 20)",4732.0,4652.0,1049050.0,221.6927303465765,0.0,105.0,107.70476190476191
multi-agent?,,5,1,"(50, 40, 10)",4505.0,4395.0,1026193.0,227.78978912319644,0.0,91.0,306.15384615384613
multi-agent?,,5,1,"(50, 50, 0)",5685.0,5552.0,1048920.0,184.5065963060686,0.0,100.0,178.14
multi-agent?,,5,1,"(60, 0, 40)",9787.0,9762.0,321303.0,32.829569837539594,2.0,199.0,29.246231155778894
multi-agent?,,5,1,"(60, 10, 30)",4931.0,4820.0,993563.0,201.49320624619753,0.0,92.0,201.6195652173913
multi-agent?,,5,1,"(60, 20, 20)",5689.0,5576.0,964166.0,169.47899455088768,0.0,133.0,228.0751879699248
multi-agent?,,5,1,"(60, 30, 10)",4816.0,4718.0,1009117.0,209.5342607973422,0.0,100.0,242.0
multi-agent?,,5,1,"(60, 40, 0)",4781.0,4692.0,1023868.0,214.1535243672872,0.0,88.0,146.79545454545453
multi-agent?,,5,1,"(80, 0, 20)",9565.0,9496.0,411082.0,42.97773131207528,2.0,192.0,45.135416666666664
multi-agent?,,5,1,"(80, 10, 10)",5499.0,5380.0,981254.0,178.44226222949627,1.0,92.0,128.9891304347826
multi-agent?,,5,1,"(80, 20, 0)",6037.0,5913.0,878910.0,145.58721219148583,0.0,126.0,112.38095238095238
multi-agent?,,5,1,"(100, 0, 0)",9298.0,9231.0,611745.0,65.79318132931813,0.0,171.0,68.09356725146199
multi-agent?,,5,2,"(0, 0, 100)",1751.0,1670.0,802430.0,458.269560251285,0.0,36.0,0.3333333333333333
multi-agent?,,5,2,"(0, 20, 80)",7330.0,7238.0,840032.0,114.6019099590723,1.0,133.0,113.78195488721805
multi-agent?,,5,2,"(0, 40, 60)",7106.0,7018.0,831390.0,116.99831128623698,0.0,147.0,121.54421768707483
multi-agent?,,5,2,"(0, 50, 50)",7405.0,7310.0,812449.0,109.71627278865631,0.0,143.0,106.87412587412588
multi-agent?,,5,2,"(0, 60, 40)",7232.0,7129.0,849235.0,117.42740597345133,0.0,148.0,110.44594594594595
multi-agent?,,5,2,"(0, 80, 20)",3246.0,3092.0,1385425.0,426.8099199014171,0.0,62.0,160.59677419354838
multi-agent?,,5,2,"(0, 100, 0)",6016.0,5927.0,873909.0,145.2641289893617,1.0,132.0,156.92424242424244
multi-agent?,,5,2,"(10, 10, 80)",7331.0,7243.0,828855.0,113.06165598144864,1.0,146.0,109.72602739726027
multi-agent?,,5,2,"(10, 30, 60)",6901.0,6809.0,848990.0,123.02419939139256,0.0,147.0,128.6122448979592
multi-agent?,,5,2,"(10, 40, 50)",6755.0,6649.0,846723.0,125.34759437453738,0.0,142.0,114.38732394366197
multi-agent?,,5,2,"(10, 50, 40)",6067.0,5907.0,1009377.0,166.37168287456734,0.0,144.0,249.47222222222223
multi-agent?,,5,2,"(10, 60, 30)",7201.0,7103.0,870671.0,120.90973475906124,0.0,149.0,116.4496644295302
multi-agent?,,5,2,"(10, 80, 10)",7138.0,7041.0,856453.0,119.98500980666853,0.0,138.0,112.21739130434783
multi-agent?,,5,2,"(20, 0, 80)",9708.0,9691.0,330955.0,34.09095591264936,1.0,174.0,23.56896551724138
multi-agent?,,5,2,"(20, 20, 60)",5983.0,5834.0,960799.0,160.58816647166972,0.0,109.0,234.54128440366972
multi-agent?,,5,2,"(20, 30, 50)",6925.0,6836.0,815169.0,117.71393501805053,0.0,146.0,131.9794520547945
multi-agent?,,5,2,"(20, 40, 40)",4022.0,3877.0,1240181.0,308.34932869219296,0.0,71.0,236.14084507042253
multi-agent?,,5,2,"(20, 50, 30)",7397.0,7326.0,818771.0,110.68960389347032,0.0,151.0,112.33774834437087
multi-agent?,,5,2,"(20, 60, 20)",7171.0,7068.0,911090.0,127.05201506066099,0.0,154.0,123.26623376623377
multi-agent?,,5,2,"(20, 80, 0)",3432.0,3272.0,1422096.0,414.3636363636364,0.0,81.0,669.9753086419753
multi-agent?,,5,2,"(25, 25, 50)",7398.0,7311.0,805295.0,108.85306839686402,0.0,125.0,114.064
multi-agent?,,5,2,"(25, 50, 25)",7479.0,7405.0,810292.0,108.34229175023398,0.0,157.0,108.82165605095541
multi-agent?,,5,2,"(30, 10, 60)",6552.0,6422.0,924597.0,141.11675824175825,0.0,132.0,127.03787878787878
multi-agent?,,5,2,"(30, 20, 50)",6663.0,6567.0,881973.0,132.36875281404772,0.0,127.0,156.06299212598427
multi-agent?,,5,2,"(30, 30, 40)",7192.0,7104.0,861085.0,119.728170189099,0.0,151.0,112.70198675496688
multi-agent?,,5,2,"(30, 40, 30)",7288.0,7178.0,858706.0,117.82464324917673,0.0,152.0,109.36184210526316
multi-agent?,,5,2,"(30, 50, 20)",7266.0,7151.0,875737.0,120.52532342416735,0.0,130.0,110.03076923076924
multi-agent?,,5,2,"(30, 60, 10)",7310.0,7208.0,858154.0,117.39452804377565,0.0,159.0,115.42138364779875
multi-agent?,,5,2,"(33, 33, 34)",6109.0,5960.0,974883.0,159.5814372237682,0.0,108.0,145.13888888888889
multi-agent?,,5,2,"(33, 34, 33)",7336.0,7234.0,810773.0,110.51976553980371,1.0,157.0,127.09554140127389
multi-agent?,,5,2,"(34, 33, 33)",5832.0,5674.0,1027499.0,176.1829561042524,0.0,104.0,193.20192307692307
multi-agent?,,5,2,"(40, 0, 60)",9565.0,9540.0,415956.0,43.487297438578146,0.0,192.0,39.442708333333336
multi-agent?,,5,2,"(40, 10, 50)",7320.0,7232.0,830449.0,113.4493169398907,0.0,155.0,103.23870967741935
multi-agent?,,5,2,"(40, 20, 40)",5988.0,5828.0,1029844.0,171.98463593854376,0.0,132.0,188.38636363636363
multi-agent?,,5,2,"(40, 30, 30)",3700.0,3600.0,1406252.0,380.0681081081081,0.0,70.0,249.4857142857143
multi-agent?,,5,2,"(40, 40, 20)",2983.0,2815.0,1518519.0,509.05766007375126,0.0,55.0,183.4181818181818
multi-agent?,,5,2,"(40, 50, 10)",3631.0,3468.0,1331307.0,366.65023409529056,0.0,76.0,684.671052631579
multi-agent?,,5,2,"(40, 60, 0)",7017.0,6914.0,845720.0,120.52444064414992,1.0,133.0,117.51127819548873
multi-agent?,,5,2,"(50, 0, 50)",9565.0,9523.0,361249.0,37.767799268165184,4.0,173.0,29.502890173410403
multi-agent?,,5,2,"(50, 10, 40)",6350.0,6211.0,944648.0,148.76346456692914,0.0,133.0,134.78195488721803
multi-agent?,,5,2,"(50, 20, 30)",6473.0,6395.0,873463.0,134.9394407539008,1.0,121.0,149.3801652892562
multi-agent?,,5,2,"(50, 25, 25)",4034.0,3893.0,1186597.0,294.1489836390679,0.0,98.0,656.8775510204082
multi-agent?,,5,2,"(50, 30, 20)",6428.0,6260.0,976404.0,151.8985687616677,0.0,139.0,151.18705035971223
multi-agent?,,5,2,"(50, 40, 10)",7068.0,6944.0,860827.0,121.79216185625354,0.0,152.0,132.625
multi-agent?,,5,2,"(50, 50, 0)",5671.0,5574.0,943639.0,166.39728442955388,0.0,109.0,131.56880733944953
multi-agent?,,5,2,"(60, 0, 40)",9424.0,9329.0,530611.0,56.30422325976231,2.0,180.0,50.83888888888889
multi-agent?,,5,2,"(60, 10, 30)",6739.0,6635.0,868353.0,128.85487461047634,0.0,129.0,122.13178294573643
multi-agent?,,5,2,"(60, 20, 20)",7139.0,7023.0,878342.0,123.03431853200729,0.0,159.0,128.40251572327045
multi-agent?,,5,2,"(60, 30, 10)",5103.0,5009.0,974654.0,190.9962766999804,0.0,124.0,177.48387096774192
multi-agent?,,5,2,"(60, 40, 0)",7055.0,6950.0,790107.0,111.99248759744862,1.0,138.0,107.1159420289855
multi-agent?,,5,2,"(80, 0, 20)",9403.0,9271.0,591909.0,62.94895246198022,0.0,197.0,59.47715736040609
multi-agent?,,5,2,"(80, 10, 10)",7038.0,6868.0,913531.0,129.79980107985224,0.0,154.0,144.7987012987013
multi-agent?,,5,2,"(80, 20, 0)",5949.0,5814.0,972075.0,163.40141200201714,0.0,113.0,129.8495575221239
multi-agent?,,5,2,"(100, 0, 0)",9290.0,9212.0,575651.0,61.96458557588805,0.0,190.0,54.863157894736844
